Question,Answer
What is the interest rate on savings accounts?,You can apply for a loan through our website or by visiting your nearest branch.
What is my account balance?,You can find the nearest ATM using our mobile app or website locator.
Where is the nearest ATM?,"To open a new account, visit our website or your nearest branch with your identification documents."
What is the interest rate on savings accounts?,You can set up auto-debit through internet banking or by visiting your branch.
What is my account balance?,"To reset your password, click on 'Forgot Password' on the login page and follow the instructions."
How do I open a new account?,"To reset your password, click on 'Forgot Password' on the login page and follow the instructions."
What is the interest rate on savings accounts?,You can apply for a loan through our website or by visiting your nearest branch.
How do I open a new account?,You can find the nearest ATM using our mobile app or website locator.
What are your working hours?,You can find the nearest ATM using our mobile app or website locator.
How do I open a new account?,"To block your lost debit card, call our customer care or use the mobile app immediately."
Can I increase my credit card limit?,"To reset your password, click on 'Forgot Password' on the login page and follow the instructions."
What is the interest rate on savings accounts?,You can apply for a loan through our website or by visiting your nearest branch.
How can I block my lost debit card?,You can check your account balance by logging into our mobile app or website.
Where is the nearest ATM?,You can find the nearest ATM using our mobile app or website locator.
How can I apply for a loan?,Our savings account interest rate is currently 3.5% per annum.
How can I block my lost debit card?,"To reset your password, click on 'Forgot Password' on the login page and follow the instructions."
Where is the nearest ATM?,You can set up auto-debit through internet banking or by visiting your branch.
How do I open a new account?,You can find the nearest ATM using our mobile app or website locator.
How can I block my lost debit card?,Our savings account interest rate is currently 3.5% per annum.
How do I set up auto-debit for my bills?,You can find the nearest ATM using our mobile app or website locator.
What is the interest rate on savings accounts?,You can check your account balance by logging into our mobile app or website.
How do I open a new account?,"Our branches are open from 9 AM to 4 PM, Monday to Friday."
How can I apply for a loan?,"Yes, you can request a credit limit increase through our online portal or customer care."
How can I apply for a loan?,"Yes, you can request a credit limit increase through our online portal or customer care."
How do I set up auto-debit for my bills?,"Yes, you can request a credit limit increase through our online portal or customer care."
How can I block my lost debit card?,"Yes, you can request a credit limit increase through our online portal or customer care."
How do I open a new account?,"Our branches are open from 9 AM to 4 PM, Monday to Friday."
How do I set up auto-debit for my bills?,You can find the nearest ATM using our mobile app or website locator.
What is my account balance?,"Yes, you can request a credit limit increase through our online portal or customer care."
How do I set up auto-debit for my bills?,"To block your lost debit card, call our customer care or use the mobile app immediately."
What is my account balance?,You can apply for a loan through our website or by visiting your nearest branch.
How do I set up auto-debit for my bills?,"To block your lost debit card, call our customer care or use the mobile app immediately."
What is my account balance?,You can find the nearest ATM using our mobile app or website locator.
